,name,price,rating,features
0,Noise NoiseFit Endeavour Pro Smartwatch,"₹9,999",62,"Bluetooth, GPS, Bluetooth Calling, 1.5 inches Touch Display, Water Resistant, 49.99 m, Scratch Resistant, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Blood Pressure Monitor, Altimeter, Pedometer, Sleep Monitor, Calorie Count, Step Count"
1,Fire Boltt Oracle WristPhone,"₹2,999",,"Wi-Fi, Bluetooth 5.0, GPS, 3G, 4G, Voice Calling, 2 GB RAM, 16 GB Inbuilt, 1.96 inches Touch Display, Water Resistant, IP67, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor"
2,Samsung Galaxy Watch 7 LTE 44mm,"₹16,496",,"Wi-Fi, Bluetooth 5.3, GPS, NFC, 3G, 4G, VoLTE, Voice Calling, 2 GB RAM, 32 GB Inbuilt, 1.47 inches Touch Display, Water Resistant, 50 m, IP68, MIL-STD-810H, Dust Proof, Heart Rate Monitor"
3,Noise NoiseFit Endeavour 2 Smartwatch,"₹5,999",62,"Bluetooth, GPS, Bluetooth Calling, 1.46 inches Touch Display, Water Resistant, IP68, Scratch Resistant, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Calorie Count, Step Count"
4,Realme Watch S2,"₹2,699",57,"Bluetooth 5.3, Bluetooth Calling, 1.43 inches Touch Display, Water Resistant, 5 m, IP68, Scratch Resistant, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Calorie Count, Step Count"
5,Redmi Watch Move,"₹1,799",54,"Bluetooth 5.3, Bluetooth Calling, 1.85 inches Touch Display, Water Resistant, IP68, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Calorie Count, Step Count, 14 days Battery"
6,Apple Watch Ultra 3,"₹89,990",,"Wi-Fi, Bluetooth 5.3, GPS, NFC, 3G, 4G, VoLTE, Voice Calling, 2 GB RAM, 64 GB Inbuilt, 1.92 inches Touch Display, Water Resistant, 100 m, Scratch Resistant, Dust Proof, Heart Rate Monitor"
7,Fire Boltt Gladiator Smartwatch,₹784,,"Bluetooth, Bluetooth Calling, 1.96 inches Touch Display, Water Resistant, IP67, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Calorie Count, Step Count"
8,Samsung Galaxy Watch 4 Classic LTE 46mm,"₹11,999",,"Wi-Fi, Bluetooth 5.0, GPS, NFC, 3G, 4G, 1.5 GB RAM, 16 GB Inbuilt, 1.4 inches Touch Display, Water Resistant, 50 m, IP68, Scratch Resistant, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor"
9,Noise ColorFit Icon Arc Smartwatch,"₹1,499",51,"Bluetooth 5.0, Bluetooth Calling, 2.01 inches Touch Display, Water Resistant, 1 ATM, Scratch Resistant, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Sleep Monitor, Calorie Count, Step Count"
10,Amazfit T-Rex 3 Pro Smartwatch,"₹34,999",76,"Bluetooth 5.0, GPS, Bluetooth Calling, 1.5 inches Touch Display, Water Resistant, 45 m, 10ATM, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Altimeter, Pedometer, Sleep Monitor, Calorie Count, Step Count"
11,Fastrack VOX Pro Smartwatch,"₹1,999",,"Bluetooth, Bluetooth Calling, 1.38 inches Touch Display, Water Resistant, IP68, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Calorie Count, Step Count"
12,boAt Chrome Endeavour Smartwatch,"₹10,499",57,"Bluetooth 5.3, Bluetooth Calling, 1.96 inches Touch Display, Water Resistant, IP68 Dust, Sweat And Splash Resistant, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Sleep Monitor, Calorie Count, Step Count"
13,CMF Watch Pro 3,"₹6,899",64,"Bluetooth 5.3, GPS, Bluetooth Calling, 1.43 inches Touch Display, Water Resistant, IP68, Scratch Resistant, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Calorie Count, Step Count"
14,CMF Watch Pro 2,"₹4,499",65,"Bluetooth 5.3, GPS, Bluetooth Calling, 1.32 inches Touch Display, Water Resistant, 1.5 m, IP68, Scratch Resistant, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Calorie Count, Step Count"
15,Samsung Galaxy Watch FE,"₹10,499",,"Wi-Fi, Bluetooth 5.0, GPS, NFC, 3G, 4G, 1.5 GB RAM, 16 GB Inbuilt, 1.2 inches Touch Display, Water Resistant, 50 m, IP68, Scratch Resistant, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor"
16,Noise ColorFit Icon 2 Smartwatch,₹849,52,"Bluetooth 5.1, Bluetooth Calling, 1.8 inches Touch Display, Water Resistant, IP67, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Calorie Count, Step Count"
17,Apple Watch Series 11,"₹46,900",,"Wi-Fi, Bluetooth 5.3, GPS, Bluetooth Calling, 64 GB Inbuilt, 1.53 inches Touch Display, Water Resistant, 50 m, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor"
18,Samsung Galaxy Watch 8 Classic LTE,"₹40,999",,"Wi-Fi, Bluetooth 5.3, GPS, NFC, 3G, 4G, VoLTE, Voice Calling, 2 GB RAM, 64 GB Inbuilt, 1.34 inches Touch Display, Water Resistant, 50 m, 5ATM + IP68 / MIL-STD-810H, Dust Proof, Heart Rate Monitor"
19,Boult Thrux Smartwatch,"₹1,799",55,"Bluetooth 5.2, GPS, Bluetooth Calling, 1.39 inches Touch Display, Water Resistant, IP67, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Blood Pressure Monitor, Pedometer, Sleep Monitor, Calorie Count, Step Count"
20,Melbon Lumina Smartwatch,₹873,55,"Wi-Fi, Bluetooth 5.0, Bluetooth Calling, 1 GB RAM, 2.01 inches Touch Display, Water Resistant, Scratch Resistant, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor"
21,Fireboltt Clickk Smartwatch (2GB),"₹3,799",74,"Wi-Fi, Bluetooth, GPS, Voice Calling, 2 GB RAM, 16 GB Inbuilt, 2.13 inches Touch Display, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Calorie Count, Step Count, Cortex CPU"
22,Apple Watch SE 3,"₹25,900",75,"Wi-Fi, Bluetooth 5.3, GPS, Bluetooth Calling, 64 GB Inbuilt, 1.17 inches Touch Display, Water Resistant, 50 m, Scratch Resistant, Heart Rate Monitor, Altimeter, Pedometer, Sleep Monitor, Step Count"
23,Fire Boltt Dream WristPhone Smartwatch,"₹2,999",77,"Wi-Fi, Bluetooth 5.0, GPS, 3G, 4G, Voice Calling, 2 GB RAM, 16 GB Inbuilt, 2.02 inches Touch Display, Water Resistant, IP67, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor"
24,CMF by Nothing Watch Pro,"₹2,999",59,"Bluetooth 5.3, GPS, Bluetooth Calling, 1.96 inches Touch Display, Water Resistant, IP68, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Calorie Count, Step Count"
25,Samsung Galaxy Watch 6 LTE 44mm,"₹14,999",,"Wi-Fi, Bluetooth 5.3, GPS, NFC, 3G, 4G, Voice Calling, 2 GB RAM, 16 GB Inbuilt, 1.5 inches Touch Display, Water Resistant, 50 m, IP68, MIL-STD-810H, Dust Proof, Heart Rate Monitor"
26,Noise NoiseFit Voyage Smartwatch,"₹2,999",57,"Bluetooth 5.3, GPS, 4G, Voice Calling, 1.4 inches Touch Display, Water Resistant, 1.5 m, IP68, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor"
27,Noise NoiseFit Fuse Smartwatch,₹919,,"Bluetooth 5.3, Bluetooth Calling, 1.38 inches Touch Display, Water Resistant, Scratch Resistant, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Calorie Count, Step Count"
28,Fitshot Aster Smartwatch,₹999,51,"Bluetooth, Bluetooth Calling, 1.43 inches Touch Display, Water Resistant, IP68, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Blood Pressure Monitor, Pedometer, Sleep Monitor, Calorie Count, Step Count"
